# errors in the annotation
3-NH.DAT.3-SG-H-A.pad.3-SG-P	<3-NH><DAT><3-SG-H-A><pad><3-SG-P>	royal
Eridug.GEN.ABS	<Eridug><GEN><ABS>	royal
Ešnunak.GEN	<Ešnunak><GEN>	royal
Ešnunak.GEN.ABS	<Ešnunak><GEN><ABS>	royal
MOD1.MID.3-SG-H-A.stem.3-SG-P	<MOD1><MID><3-SG-H-A><stem><3-SG-P>	royal
MOD1.MID-V11=1-SG-A.V.3-SG-P	<MOD1><MID-V11=1-SG-A><V><3-SG-P>	royal # MOD1.MID.1-SG.A.V.3-SG-P
N.3-SG-H-POSS.DAT.H	<N><3-SG-H-POSS><DAT><H>	royal # DAT-H !
NN5=GEN.ABS	<NN5=GEN><ABS>	royal # N.GEN.ABS !
N.GEN.abs	<N><GEN><abs>	royal # ABS !
nu.NF.V.ed.COP-3-SG	<nu><NF><V><ed><COP-3-SG>	royal
N-RDP	<N-RDP>	royal # N.RDP !
N-RDP.GEN	<N-RDP><GEN>	royal # N.RDP !
sabar.ani	<sabar><ani>	royal
Taramurim.GEN.ABS	<Taramurim><GEN><ABS>	royal
VEN.3-SG-H.DAT.3-SG-H-A.gin.3-SG-P	<VEN><3-SG-H><DAT><3-SG-H-A><gin><3-SG-P>	royal
VEN.3-SG-H.DAT.3-SG-H-A.gub.3-SG-P	<VEN><3-SG-H><DAT><3-SG-H-A><gub><3-SG-P>	royal

_.ABL	<_><ABL>	mtaac
dub[tablet]-ak	<dub[tablet]-ak>	mtaac

Note: NF.V should become NF-V
