filename id form seg xpostag lem eng_translation org_tags_split processed_tags_split
P100723.conll o.1.1 1(disz) 1(disz)[one] NU 1(disz) one ['NU'] ['num']
P100723.conll o.1.2 udu-nita2 udunita[ram][-ø] N.ABS udunita ram "['N', 'ABS']" "['n', 'abs']"
P100723.conll o.1.3 ba-usz2 ba-usz[die][-ø] MID.V.3-SG-S ba-usz die "['MID', 'V', '3-SG-S']" "['mid', 'vblex', '3-sg-s']"
P100723.conll o.2.1 1(disz) 1(disz)[one] NU 1(disz) one ['NU'] ['num']
P100723.conll o.2.2 sila4 sila[lamb] N sila lamb ['N'] ['n']
P100723.conll o.2.3 ASZ-ur4 azur[type_of_sheep] N azur type_of_sheep ['N'] ['n']
P100723.conll o.2.4 ba-usz2 ba-usz[die][-ø] MID.V.3-SG-S ba-usz die "['MID', 'V', '3-SG-S']" "['mid', 'vblex', '3-sg-s']"
P100723.conll _ _ _ _ _ _ ['_'] ['_']
P100723.conll o.3.1 ki ki[place] N ki place ['N'] ['n']
P100723.conll o.3.2 ur-u3-ta Uru[1][-ak]-ta PN.GEN.ABL Uru Uru "['PN', 'GEN', 'ABL']" "['pn', 'gen', 'abl', 'np']"
P100723.conll o.4.1 sza3 szag[heart] N szag heart ['N'] ['n']
P100723.conll o.4.2 bala-a bala[tax][-ak]-'a N.GEN.L1 bala tax "['N', 'GEN', 'L1']" "['n', 'gen', 'l1']"
P100723.conll r.1.1 kiszib3 kiszib[seal] N kiszib seal ['N'] ['n']
P100723.conll r.1.2 ARAD2 Arad[1][-ak] PN.GEN Arad Arad "['PN', 'GEN']" "['pn', 'gen', 'np']"
P100723.conll r.2.1 iti iti[month] N iti month ['N'] ['n']
P100723.conll r.2.2 sze-sag11-ku5 Szesagku[1][-'a] MN.L1 Szesagku Szesagku "['MN', 'L1']" "['mn', 'l1', 'np']"
P100723.conll r.3.1 mu mu[year] N mu year ['N'] ['n']
P100723.conll r.3.2 us2-sa us[follow]-a NF.V.PT us follow "['NF', 'V', 'PT']" "['nf', 'vblex', 'pt']"
P100723.conll r.3.3 ki-masz{ki} Kimasz[1][-ø] SN.ABS Kimasz Kimasz "['SN', 'ABS']" "['sn', 'abs', 'np']"
P100723.conll r.3.4 ba-hul ba-hulu[destroy][-ø] MID.V.3-SG-S ba-hulu destroy "['MID', 'V', '3-SG-S']" "['mid', 'vblex', '3-sg-s']"
P100723.conll s1.1.1 ARAD2-mu Aradmu[1] PN Aradmu Aradmu ['PN'] "['pn', 'np']"
P100723.conll s1.2.1 dub-sar dubsar[scribe] N dubsar scribe ['N'] ['n']
P100723.conll s1.3.1 dumu dumu[child] N dumu child ['N'] ['n']
P100723.conll s1.3.2 ur-nigar{gar} Urnigar[1] PN Urnigar Urnigar ['PN'] "['pn', 'np']"
P100723.conll s1.3.3 szusz3 kusz[cattle_manager][-ak] N.GEN kusz cattle_manager "['N', 'GEN']" "['n', 'gen']"
P128598.conll o.1.1 1(disz) 1(disz)[one] NU 1(disz) one ['NU'] ['num']
P128598.conll o.1.2 udu udu[sheep][-ø] N.ABS udu sheep "['N', 'ABS']" "['n', 'abs']"
P128598.conll o.2.1 1(disz) 1(disz)[one] NU 1(disz) one ['NU'] ['num']
P128598.conll o.2.2 u8 u[ewe][-ø] N.ABS u ewe "['N', 'ABS']" "['n', 'abs']"
P128598.conll o.3.1 1(disz) 1(disz)[one] NU 1(disz) one ['NU'] ['num']
P128598.conll o.3.2 sila4 sila[lamb][-ø] N.ABS sila lamb "['N', 'ABS']" "['n', 'abs']"
P128598.conll o.4.1 1(disz) 1(disz)[one] NU 1(disz) one ['NU'] ['num']
P128598.conll o.4.2 masz2-gal maszgal[billy_goat][-ø] N.ABS maszgal billy_goat "['N', 'ABS']" "['n', 'abs']"
P128598.conll o.5.1 ba-usz2 ba-ug[die][-esz] MID.V.PL.3-PL-S ba-ug die "['MID', 'V', 'PL', '3-PL-S']" "['mid', 'vblex', 'pl', '3-pl-s']"
P128598.conll o.5.2 u4 ud[day] N ud day ['N'] ['n']
P128598.conll o.5.3 1(u) 1(u)[ten] NU 1(u) ten ['NU'] ['num']
P128598.conll o.5.4 la2 la[hang][-ø] NF.V.ABS la hang "['NF', 'V', 'ABS']" "['nf', 'vblex', 'abs']"
P128598.conll o.5.5 1(disz@t)-kam 1(disz@t)[one]-ak-am NU.GEN.COP-3-SG 1(disz@t) one "['NU', 'GEN', 'COP-3-SG']" "['num', 'gen', 'cop-3-sg']"
P128598.conll o.6.1 sza3 szag[heart] N szag heart ['N'] ['n']
P128598.conll o.6.2 tum-ma-al Tummal[1][-ak][-'a] SN.GEN.L1 Tummal Tummal "['SN', 'GEN', 'L1']" "['sn', 'gen', 'l1', 'np']"
P128598.conll r.1.1 ki ki[place] N ki place ['N'] ['n']
P128598.conll r.1.2 en-dingir-mu-ta Endingirmu[1][-ak]-ta PN.GEN.ABL Endingirmu Endingirmu "['PN', 'GEN', 'ABL']" "['pn', 'gen', 'abl', 'np']"
P128598.conll r.2.1 {d}szul-gi-iri-mu Szulgi'irimu[1][-e] PN.ERG Szulgi'irimu Szulgi'irimu "['PN', 'ERG']" "['pn', 'erg', 'np']"
P128598.conll r.3.1 szu szu[hand][-e] N.L3-NH szu hand "['N', 'L3-NH']" "['n', 'l3-nh']"
P128598.conll r.3.2 ba-ti ba[-n]-teg[accept][-ø] MID.3-SG-H-A.V.3-SG-P -teg accept "['MID', '3-SG-H-A', 'V', '3-SG-P']" "['mid', '3-sg-h-a', 'vblex', '3-sg-p']"
P128598.conll r.4.1 iti iti[month] N iti month ['N'] ['n']
P128598.conll r.4.2 a2-ki-ti Akiti[1][-'a] MN.L1 Akiti Akiti "['MN', 'L1']" "['mn', 'l1', 'np']"
P128598.conll r.5.1 mu mu[year] N mu year ['N'] ['n']
P128598.conll r.5.2 en en[priest] N en priest ['N'] ['n']
P128598.conll r.5.3 {d}nanna Nanna[1] DN Nanna Nanna ['DN'] "['dn', 'np']"
P128598.conll r.5.4 ba-hun ba-hug[hire][-ø] MID.V.3-SG-S ba-hug hire "['MID', 'V', '3-SG-S']" "['mid', 'vblex', '3-sg-s']"
P101808.conll o.1.1 1(disz) 1(disz)[one] NU 1(disz) one ['NU'] ['num']
P101808.conll o.1.2 udu udu[sheep] N udu sheep ['N'] ['n']
P101808.conll o.1.3 1/3(disz) 1/3(disz)[one] NU 3(disz) one ['NU'] ['num']
P101808.conll o.1.4 gin2 gig[unit] N gig unit ['N'] ['n']
P101808.conll o.1.5 2(u) 2(u)[ten] NU 2(u) ten ['NU'] ['num']
P101808.conll o.1.6 sze sze[unit] N sze unit ['N'] ['n']
P101808.conll o.1.7 ... _[_] _ _ _ ['_'] ['_']
P101808.conll o.2.1 3(disz) 3(disz)[one] NU 3(disz) one ['NU'] ['num']
P101808.conll o.2.2 udu udu[sheep] N udu sheep ['N'] ['n']
P101808.conll o.2.3 1(disz) 1(disz)[one] NU 1(disz) one ['NU'] ['num']
P101808.conll o.2.4 gin2 gig[unit] N gig unit ['N'] ['n']
P101808.conll o.2.5 igi-6(disz)-gal2 igi6(disz)[one]gal[fraction] NU igi6(disz) one ['NU'] ['num']
P101808.conll o.2.6 ... _[_] _ _ _ ['_'] ['_']
