filename id form seg xpostag lem eng_translation org_tags_split processed_tags_split
P432211.conll "# tr.en: he standardized for him" *RETOK*-lugal-a-ni _ _   ['_'] ['_']
P432211.conll "# train/P432211.atf"      [''] ['']
P432211.conll 1 mu-na-gi-in _[he.standardized.for.him] VEN.3-SG-H.DAT.3-SG-H-A.gin.3-SG-P _ he-standardized-for-him "['VEN', '3-SG-H', 'DAT', '3-SG-H-A', 'gin', '3-SG-P']" "['ven', '3-sg-h', 'dat', '3-sg-h-a', 'gin', '3-sg-p']"
P432254.conll "# train/P432254.atf"      [''] ['']
P432254.conll 1 '. SEGM XPOSTAG SEG SEG ['XPOSTAG'] ['xpostag']
P432254.conll 2 nam-ti namtil[life] N namtil life ['N'] ['n']
P432254.conll 3 '. _ _   ['_'] ['_']
P432254.conll 4 {d}szul-gi-sze3 _[of.Szulgi] RN.GEN.TERM _ of-Szulgi "['RN', 'GEN', 'TERM']" "['rn', 'gen', 'term', 'np']"
P432254.conll 5 '. _ _   ['_'] ['_']
P432254.conll 6 x-sa6-ga _[-saga] PN _ -saga ['PN'] "['pn', 'np']"
P432254.conll 7 '. _ _   ['_'] ['_']
P432254.conll 8 nu-kiri6 _[the.orchardman] N.ERG _ the-orchardman "['N', 'ERG']" "['n', 'erg']"
P432254.conll 9 '. _ _   ['_'] ['_']
P432254.conll 10 a a[water][-ø] N.ABS a water "['N', 'ABS']" "['n', 'abs']"
P432254.conll 11 mu-na-ru mu-nn-a[-n]-ru[dedicate][-ø] VEN.3-SG-H.DAT.3-SG-H-A.V.3-SG-P mu-nn-a -n "['VEN', '3-SG-H', 'DAT', '3-SG-H-A', 'V', '3-SG-P']" "['ven', '3-sg-h', 'dat', '3-sg-h-a', 'vblex', '3-sg-p']"
P145724.conll 1 ur-ge6-par4 Ur-gepar[1] PN Ur-gepar Ur-gepar ['PN'] "['pn', 'np']"
