,file,sux_sentence,eng_tranlation_reference,eng_rule_based_translation,eng_nn_based_translation,rule_bleu,nn_bleu
0,P320163.conll,pisan-dub-ba mu 2(disz) sze-ba giri3-se3-ga ugnim{ki} i3-gal2 mu ki-masz{ki} ,Szusuen strong king king of Urim king of the four quarters,filing_basket one year ration attendant ugnim{} day ni in year kimasz,Basketoftablets 2 years of the barley rations are here year Kima was destroyed,0.0,13.198350911817593
1,P125272.conll,usz2 ur-sila-luh 1(asz@c) GAN2 e2-ur2-bi-du10 ugula 1(asz@c) GAN2 giri3-ni-i3-sa6 dumu-ni-me 1(asz@c) GAN2 ur-{d}gesztin-an-ka 1(disz) lu2-{d}sukkal-an-ka dumu-ni-me tir ki-sur-ra i3-dab5 1(asz@c) 1(barig) 1(ban2) 5(disz) 4(disz) ug3 du11-ga-ni tir szu-na-mu-gi4 i3-dab5 1(asz@c) GAN2 inim-{d}szara2 1(disz) lugal-inim-gi-na dumu-ni tir a-kun-kum2 i3-dab5 szu ur-ab-ba 1(asz@c) GAN2 lu2-{d}szara2 dumu-ni tir ka-ma-ri2{ki} i3-dab5 usz2 lugal-iti-da 1(asz@c) GAN2 lu2-gi-na 1(asz) a-hu-ba-qar usz2 lu2-{d}szara2 1(disz) a-ta2-na-ah dumu-ni-me tir a-sza3 am3-ri2 i3-dab5 1(asz@c) GAN2 lu2-{d}ab-u2 1(asz) lu2-eb-gal 1(disz) lu2-{d}en-ki-du dumu da-a-da-ga tir u2-la2{ki} i3-dab5 1(asz@c) GAN2 ug3 a-du-du 1(disz) lugal-ku3-zu dumu-ni tir {gesz}kiri6-mah i3-dab5 1(asz@c) nu GAN2 inim-ma-ni-zi 1(asz) nu ur-e2-mah 1(disz) nu {d}utu-saga 1(disz) nu ur-{d}ur3-bar-tab dumu-ni-me tir i7 dul4-la i3-dab5 1(asz@c) sza3-gu2-bi zah3 tir a-sza3 {d}szara2-si i3-dab5 1(asz@c) GAN2 ur-e2-masz dumu ur-sila-luh tir da-gu-na i3-dab5 ugula e2-ur2-bi-du10 1(asz@c) GAN2 szesz-kal-la ugula 1(disz) inim-ma-ni-zi dumu-ni 1(asz@c) GAN2 lugal-hi-li 1(asz) {d}szara2-zi-da 1(disz) lu2-{d}ab-u2 dumu al-lu-me tir e2-lugal i3-dab5 1(asz@c) GAN2 a-kal-la dumu ur-tul2-mah 1(disz) giri3-ni-i3-sa6 dumu-ni tir kar-ra i3-dab5 1(asz@c) GAN2 szesz-kal-la 1(asz) lugal-he2-gal2 dumu-ni tir ma-sar i3-dab5 1(asz@c) GAN2 lu2-dingir-ra dumu ur-lugal tir tu-ru-da i3-dab5 1(asz@c) GAN2 ug3 lugal-he2-gal2 dumu ur-gu 1(disz) lu2-{d}nin-a-zu dumu-ni tir nag-su{ki} i3-dab5 1(asz@c) GAN2 lugal-za3-ge 1(disz) lu2-{d}nanna dumu-ni tir gir13-gesz{ki} i3-dab5 1(asz@c) GAN2 ur-nigar{gar} 1(disz) a2-ta dumu-ni tir inim-e3 i3-dab5 szu ab-ba-saga tir bala-a-ti-im-durunx(|KU.KU|) i3-dab5 1(asz@c) GAN2 {d}szara2-kam tir ki-sur-ra adab{ki} i3-dab5 1(asz@c) GAN2 ba-an-sa6 1(disz) ur-sukkal dumu-ni tir zabala3{ki} i3-dab5 ugula szesz-kal-la 1(asz@c) GAN2 ug3 ur-{gesz}gigir tir i7 gal-la i3-dab5 szu ur-{d}szara2 dumu ARAD2 1(asz@c) GAN2 lu2-he2-gal2 1(asz) ha-la-{d}ma-mi usz2 lu2-dingir-ra 1(disz) lugal-nesag-e dumu-ni-me tir gar-sza-na-ka{ki} i3-dab5 1(asz@c) GAN2 ur-{d}szara2 dumu i-di3-a tir erin2-gar-sza-na-ka{ki} i3-dab5 1(asz@c) GAN2 ug3 lu2-ga 1(asz@c) GAN2 ur-{d}dumu-zi-da dumu ur-mes tir sza3-nin9-ti-na i3-dab5 1(asz@c) GAN2 sza3-ku3-sig17 1(asz) ur-nigar{gar} 1(disz) lu2-eb-gal dumu-ni-me tir gaba-ri-gar-sza-na-ka i3-dab5 tir ma2-szuku-diri gu2 i7 nam-ha-ni i3-dab5 1(asz@c) GAN2 ba-an-sa6 1(disz) ARAD2-{d}szara2 dumu-ni dumu ha-an-da nu-{gesz}kiri6 tir uku2-nu-ti gu2 i7 {d}szul-gi-he2-gal2 i3-dab5 1(asz@c) GAN2 ab-ba-gi-na dumu ur-nigar{gar} dumu da-a-a im-e tak4-a tir iri-bu3-ra i3-dab5 1(asz@c) GAN2 lal3-mes tir a-du10-ga-nigin i3-dab5 1(asz@c) GAN2 a-bu-du10 tir gar-su4-da i3-dab5 1(asz@c) GAN2 lugal-da-ga usz2 ama-ki pa4 ur-nigar{gar} dumu ur-{d}isztaran tir GAN2-masz{ki} i3-dab5 ugula ur-{d}szara2 szunigin 3(asz@c) GAN2 gurusz ugula szunigin n dumu-nita2 diri szunigin 1(disz) dumu-nita2 szunigin 1(disz) gurusz szu-gi4 ugula i3-dab5 szunigin 2(u@c) 3(asz@c) GAN2 gurusz szunigin 1(asz@c) gurusz nu-dab szunigin 5(asz) dumu-nita2 szunigin 1(u) 1(disz) dumu-nita2 szunigin 2(disz) gurusz szu-gi4 szunigin 1(asz@c) gurusz zah3 szunigin 1(asz) gurusz nu-dab szunigin 2(disz) dumu-nita2 nu-dab szunigin 4(asz@c) GAN2 ug3 gurusz szunigin 1(asz@c) ug3 gurusz 1(barig) 1(ban2) 5(disz) sila3 sze 4(disz) ma-na siki-ta szunigin 2(disz) dumu-nita2 ug3-IL2-me sze-bi 1(barig) 1(ban2) 5(disz) sila3 iti-da be6-dam siki-bi 4(disz) ma-na mu-a be6-dam gurum2 ak erin2 dab-ba lu2 tir-ra a-a-kal-la ensi2 umma{ki} giri3 sza3-ta-ku3-zu sukkal lu2-{d}inanna sukkal u3 lu2-{d}nanna dumu inim-{d}szara2 iti ezem-{d}dumu-zi mu en-nun-ne2-{d}amar-{d}suen-ra-ki-ag2 en eridu{ki} ba-hun ,Szusuen strong king king of Urim king of the four quarters,dead <n> unit luh 1(towards his <n>@ c) field eurbidu overseer 1(towards his <n>@ c) field giriniisa theirs are his son 1(towards his <n>@ c) field urgesztinanka one for lusukkalankak theirs are his son of forester <n> he n him 1(towards his <n>@ c) unit unit one day people for dugani of forester on his szuna <np> repay n him 1(towards his <n>@ c) field was destroyed one lugalinimgina his child of forester a <np> kum2 he n him at hand of urabba 1(towards his <n>@ c) field luszara his child of forester of kamari n him dead lugalitida 1(towards his <n>@ c) field of lugina one a huba qar dead luszara one a ta2 stone_weight <np> h theirs are his son of forester field am3 ri2 he n him 1(towards his <n>@ c) field luabu one luebgal one quality_designation person of enki child unknown <np> unknown milk of forester grass <np>{} day n him 1(towards his <n>@ c) field people adudu one lugalkuzu his child of forester great orchard he n him 1(towards his <n>@ c) not field inimanizi one not uremah one not good utu one not <n> { d} roof <np> r tab theirs are his son of forester river <np> he n him 1(towards his <n>@ c) for szagubi <vble> of forester field szara si he n him 1(towards his <n>@ c) field uremasz child <n> unit luh of forester unknown cord stone_weight n him overseer eurbidu 1(towards his <n>@ c) field szeszkala one overseer inimanizi his child 1(towards his <n>@ c) field lugalhili one szara <np> one unknown luabu child hoeing lu me of forester house intercalary_month n him 1(towards his <n>@ c) field akala child of urtulmah one giriniisa his child of forester <vble> he n him 1(towards his <n>@ c) field szeszkala one lugalhegal his child of forester ma unit n him 1(towards his <n>@ c) field ludingira child urlugal of forester tu ru unknown n him 1(towards his <n>@ c) field people lugalhegal child urgu one person ninazu his child of forester nag su{} day n him 1(towards his <n>@ c) field lugalzage one lunanna his child of forester gir13 {tree} day n him 1(towards his <n>@ c) field urnigar one ata his child of forester word for <np> 3 he n him at hand abbasaga of forester of ta <n> clay durun( |kuku|) he n him 1(towards his <n>@ c) field szarakam of forester <n> adab{} day n him 1(towards his <n>@ c) field bayansa one <n> secretary his child of forester zabala3{} day n him overseer szeszkala 1(towards his <n>@ c) field people urgigir of forester big river <np> he n him at hand urszara child slave 1(towards his <n>@ c) field luhegal one for hala { d} ma <n> dead ludingira one lugalnesage theirs are his son of forester gar sza stone_weight{} mouth day n him 1(towards his <n>@ c) field urszara child for idia of forester people gar sza stone_weight{} mouth day n him 1(towards his <n>@ c) field people of luga 1(towards his <n>@ c) field of urdumuzida child urmes of forester heart of <np> n9 <n> stone_weight n him 1(towards his <n>@ c) field heart one gold urnigar one luebgal theirs are his son of forester copy gar sza stone_weight mouth n him of forester ship prebend_land unit bank river namhani n him 1(towards his <n>@ c) field bayansa one of aradszara his child child ha <np> n unknown <n> of forester from <np> bank river szulgir he2 <np> he n him 1(towards his <n>@ c) field abbagina child urnigar child unknown <np> <np> at <n> abandoned of forester city <np> he n him 1(towards his <n>@ c) field lalmes of forester a good of <np> gin he n him 1(towards his <n>@ c) field a bu du10 of forester gar red unknown n him 1(towards his <n>@ c) field intercalary_month unknown dead milk <n> day pa4 urnigar child uristaran of forester in ganmasz{} day n him overseer urszara total 3(towards his <n>@ c) field male overseer total n child of <np> ta2 unit one total child of <np> ta2 one total male at hand repay overseer n him total 2( u@ c) 3(towards his <n>@ c) field male total 1(towards his <n>@ c) not male <vble> one total child of <np> ta2 ten total one child of <np> ta2 one total male at hand repay total 1(towards his <n>@ c) male <vble> one total not male <vble> one total child of <np> ta2 not <vble> total 4(towards his <n>@ c) field people male total 1(towards his <n>@ c) people male unit unit day month one barley unit wool unknown one total child of <np> ta2 porter me its barley unit unit day month worker_category be6 spouse one its wool unit <n> be6 spouse ecavated inspection seized people person of forester <np> that strong bread king foot szatakuzu secretary luinanna secretary and lunanna child was destroyed month in ezemdumuzi year ennunne amarsuen <np> loved he was hired priest of eridug,the arasifieldwoods took in charge 1 acworker field akusig 1 aworker Luebgal 1 diworker LuEnkidu,0.1907696158474937,3.814165616365677
2,P416458.conll,4(disz) ki szu-{d}idim-ta mu-kux(DU) iti ezem-{d}nin-a-zu mu si-mu-ru-um{ki} u3 lu-lu-bu{ki} a-ra2 gu4 1(u) la2 1(disz@t)-kam ba-hul 3(disz) ab2 6(disz) dusu2-nita2 4(disz) dusu2-munus szu-gi4 ,Szusuen strong king king of Urim king of the four quarters,one day at hand { d} idim unknown year <vble> (quality_designation ) month in ezemninazu year month and lulubu times ten o unit 1( disz@ t)his is of _ one place one cow dusu2of <np> ta2 one dusu2 <np> nus at hand repay,4 garments from uIdim delivery of Ninazu year Simurum and Lulubu were destroyed for the month Firstoffering month 4,1.3154863187400607,5.045325264183064
3,P107372.conll,pisan-dub-ba kiszib3 didli masz-x-x e2 lu2-gi-na-ta de6-a i3-gal2 ,Szusuen strong king king of Urim king of the four quarters,filing_basket several unit interest house brought from lugina he ni in,Basketoftablets sealed documents varied from the house of Lugina delivered,0.0,8.785822423787163
4,P101172.conll,"5(disz) sila3 kasz saga 5(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga ba-... 5(disz) sila3 kasz saga 5(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga {d}utu-... 5(disz) sila3 kasz saga 5(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga lu2-du10-ga 5(disz) kasz 5(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga ...-x-al-x-... 5(disz) sila3 kasz 5(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 lu2-{d}x 5(disz) sila3 kasz 5(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga s,a-al-li2-a 5(disz) sila3 kasz 5(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga ur-{d}ba-ba6 3(disz) sila3 kasz 2(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3! 2(disz) gin2 naga hu-la-ni-a 3(disz) sila3 kasz 2(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga ha-ab-lu-lu 3(disz) sila3 kasz 2(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga suhusz-gi 3(disz) sila3 kasz 2(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga szu-{d}inanna 3(disz) sila3 kasz 2(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga sza3-mu szunigin 1(ban2) 5(disz) sila3 kasz saga szunigin 3(ban2) 5(disz) sila3 kasz du szunigin 4(ban2) 5(disz) sila3 ninda szunigin 1(disz) sila3 szum2 szunigin 1/2(disz) sila3 6(disz) gin2 i3 szunigin 1/3(disz) sila3 4(disz) gin2 naga u4 1(u) 1(disz)-kam iti {d}li9-si4 mu si-ma-num2{ki} ba-hul ... ",Szusuen strong king king of Urim king of the four quarters,"day month good beer day month bread day unit one garlic unit one oil unit potash of <np> day month good beer day month bread day unit one garlic unit one oil unit potash utu day month good beer day month bread day unit one garlic unit one oil unit potash luduga day beer day month bread day unit one garlic unit one oil unit potash <np> l day month beer day month bread day unit one garlic unit one oil unit person { d} day month beer day month bread day unit one garlic unit one oil unit potash s, a <np> l li2 <np> day month beer day month bread day unit one garlic unit one oil unit potash urbaba one month one beer month bread day unit one garlic unit one oil unit potash hu <np>of <np> <np> one month one beer month bread day unit one garlic unit one oil unit potash ha <np> b lu lu one month one beer month bread day unit one garlic unit one oil unit potash suhusz one reed month one beer month bread day unit one garlic unit one oil unit potash at hand inanna one month one beer month bread day unit one garlic unit one oil unit potash heart <np> total unit day month good beer total day day month quality_designation beer total unit day month bread one total month garlic total place one month unit oil one total one month unit potash ten day his is of one month in lisi year emblem place",for Inanna 5 sila3 fine beer 5 sila3 bread 5 shekels onions 3 shekels oil 2 shekels alkaliplant,0.3669225782037008,0.0
5,P203075.conll,pisan-dub-ba nigin-ba gu4-apin gub-ba u3 szabra-ne i3-gal2 mu ,Szusuen strong king king of Urim king of the four quarters,filing_basket this of <n> o <np> pin assigned and <np> he ni in year,Basketoftablets grand totals of plowoxen and chief household administrators are here year,4.091835210594452,4.789232204309912
6,P108689.conll,1(ban2) zi3 sig15 lugal 2(disz) sa gi ninda gur4-ra 2(disz) sa {gesz}ma-nu 2(disz) bur-zi NE-NE-si-sze3 1(ban2) dabin 5(disz) sila3 esza dub-dub-de3 1(barig) kasz dida du 2(ban2) kasz du gi-ra-num2-sze3 ur-{d}li9-si4 maszkim 1(ban2) zi3 sig15 2(disz) sa gi ninda gur4-ra 2(disz) sa {gesz}ma-nu 2(disz) bur-zi NE-NE-si-sze3 1(barig) dabin 5(disz) sila3 esza dub-dub-de3 1(barig) kasz dida du siskur2 {gesz}kiri6 {d}inanna {d}szul-gi-zi-mu maszkim 2(ban2) zi3 sig15 4(disz) sa gi ninda gur4-ra 2(disz) sa {gesz}ma-nu 2(disz) bur-zi NE-NE-si-sze3 1(barig) dabin 5(disz) sila3 esza dub-dub-de3 1(barig) kasz dida du siskur2 sza3 e2-gal er3-re-eb maszkim 1(ban2) zi3 sig15 2(disz) sa gi ninda gur4-ra 1(barig) dabin 5(disz) sila3 esza dub-dub-de3 1(barig) kasz dida du 2(ban2) kasz du gi-ra-num2-sze3 5(ban2) 5(disz) sila3 zi3 sig15 5(disz) sila3 zu2-lum 1(u) gin2 i3-gesz 1(u) sa gi gug2-sze3 2(disz) sa {gesz}ma-nu 2(disz) bur-zi NE-NE-si-sze3 1(barig) dabin 5(disz) sila3 esza dub-dub-de3 1(barig) kasz dida du 1(disz) sila3 sze sa gu2-gal-gal 1(disz) sila3 sze sa gu2-tur-tur 1(disz) sila3 sze sa gig 1(disz) sila3 sze sa imgaga3 1(disz) sila3 sze sa sze in-nu-ha 1(disz) sila3 gu2-gal-gal mu2-a 1(disz) sila3 gu2-tur-tur mu2-a 1(disz) sila3 gig mu2-a 1(disz) sila3 imgaga3 mu2-a 1(disz) sila3 sze in-nu-ha mu2-a 1(disz) sila3 gu2-gal-gal x x 1(disz) sila3 gu2-tur-tur x x 1(disz) sila3 sze-gesz-i3 ... 1(disz) sila3 sze-gesz-i3 ... 1(disz) sila3 sze-gesz-i3 ... ma2 an-na-sze3 sza3 ... zi-ga iti ezem-an-na mu ki-masz{ki} ba-hul ,Szusuen strong king king of Urim king of the four quarters,unit flour flour_type one intercalary_month bundle reed bread <vble> one bundle one wood <np> <np> unit semolina day month flour at <n> unit beer quality_designation sweet_wort unit quality_designation beer <n> urlisi administrator unit flour one flour_type bundle reed bread <vble> one bundle one wood <np> <np> unit semolina day month flour at <n> unit beer quality_designation sweet_wort offering orchard inanna szulgirzimu administrator unit flour one flour_type bundle reed bread <vble> one bundle one wood <np> <np> unit semolina day month flour at <n> unit beer quality_designation sweet_wort offering heart palace from <np> administrator unit flour one flour_type bundle reed bread <vble> unit semolina day month flour at <n> unit beer quality_designation sweet_wort unit quality_designation beer <n> seal day month flour flour_type day month ten date unit ten oil bundle reed towards his <n> one bundle one wood <np> <np> unit semolina day month flour at <n> unit beer quality_designation sweet_wort one month barley bundle <np> one month barley bundle <np> one month barley bundle one resin_type month barley bundle <n> one month barley bundle barley <n> one month <np> that he <vble> towards him one month <np> that he <vble> towards him one month that resin_type <vble> towards him one month <n> that he <vble> towards him one month barley <n> that he <vble> towards him one month <np> one month <np> one month one sesame_seed month one sesame_seed month sesame_seed ship of an heart ependiture month in ezemanna year kimasz place,2 1 ban2 groats 2 bundles reed fatbreads 1 barig 2 ban2 2 sila3 common beer 1 barig 1 ban2 2 sila3 bread,0.232613124510549,0.0
7,P206146.conll,pisan-dub-ba ,Szusuen strong king king of Urim king of the four quarters,filing_basket,Basketoftablets,0.0,0.0
8,P118757.conll,pisan-dub-ba nig2-ka9-ak ARAD2 ka-guru7 mu 4(disz)-kam i3-gal2 mu en {d}nanna masz2-e i3-pa3-ta mu ki-masz{ki} ba-hul-sze3 ,Szusuen strong king king of Urim king of the four quarters,filing_basket account slave supervisor his is of one year ni in year priest nanna at goat found unknown year he was destroyed kimasz,Basketoftablets accounts of ARAD the silo manager are here year The highpriestess of Nanna by means of extispicy was destroyed,2.47228453827878,6.49202291440628
9,P209503.conll,8(disz) gurusz u4 4(u)-sze3 a2-bi u4 5(gesz2) 2(u) a-da gub-ba a-sza3 amar-{gesz}kiszi17 a-sza3 muru13 a-sza3 i7 lugal-ka a-de2-a ka i7 e3-ka ku5-ra2 ka i7 e3-ta a-sza3 amar-{gesz}kiszi17 x-da-sze3 szu-ur3-ra ugula ... x giri3 ... kiszib3 e2-gal-e-si mu us2-sa {d}szu-{d}suen lugal-e bad3 mar-tu mu-du3 ,Szusuen strong king king of Urim king of the four quarters,king male day his is of <num> its labor sity day ten <np> assigned field { calf tree} kiszi17 field muru field river intercalary_month mouth a poured mouth left river cut mouth mouth left river unknown {field calf tree} kiszi17 unknown of <np> level_off at hand overseer foot unit of egalesi followed year seal king wall he n martu,8 workmen for 4 days the labor 25 days irrigation work in the field Amarkii leveled field Center,2.707378566259796,3.1690813733420775
